Orden;Tratamiento;Replica;WS;WF;WG;pf1;pf2;pf3;densidad
20;1;1;3.0032;0;0;188;187.5;187;1.5995
1;1;2;3.011;0;0;187;187;188;1.5978
4;1;3;3.0072;0;0;187.5;188;187;1.592
2;2;1;0;3.0174;0;103.5;104;103.5;1.5569
13;2;2;0;3.0052;0;103;104;103;1.5545
17;2;3;0;3.0096;0;103.5;104;103;1.5505
15;3;1;0;0;3.0178;149;150.5;150;1.5488
21;3;2;0;0;3.0092;150.5;149;150;1.5464
16;3;3;0;0;3.0164;150;151;150.5;1.5421
12;4;1;1.5021;1.5087;0;107;106;106.5;1.4628
3;4;2;1.5028;1.5031;0;106.5;106.5;107;1.4698
18;4;3;1.5058;1.5024;0;107;106;106;1.466
10;5;1;1.5021;0;1.5025;108;108;109;1.4247
11;5;2;1.5067;0;1.5069;108;108.5;109;1.4212
19;5;3;1.5039;0;1.504;108.5;108;108.5;1.4232
7;6;1;0;1.5041;1.5049;100;101;100.5;1.4354
6;6;2;0;1.5014;1.5023;101.5;101;101;1.4364
8;6;3;0;1.5036;1.5078;101;102;101.5;1.4326
14;7;1;1.0048;1.0078;1.0023;97;96;96.5;1.3234
9;7;2;1.0069;1.0024;1.0085;96.5;96.5;96;1.2203
5;7;3;1.0075;1.0076;1.0047;96.5;96.5;97;1.2288
